Название,Текст,Дата,Просмотры,Ссылка
Участники BRICS Project Lab Arctic готовы к развитию Арктики на базе big data T2,"T2 совместно с Правительством Архангельской области выступил партнером молодежного трека Международной проектной Лаборатории БРИКС, которая в этом году впервые проводилась в рамках форума «Арктика – регионы».",05.08.25 03:17,3801,/novosti/ekonomika/Uchastniki_BRICS_Project_Lab_Arctic_gotovy_k_razvitiju_Arktiki_na_baze_big_data_T2/108571
Будущее северной логистики обсудили на федеральном арктик-форуме в Архангельске,"На форуме «Арктика – Регионы» состоялось совместное заседание двух комиссий Госсовета РФ, посвященное экспортной логистике через Северный морской путь. Главной темой обсуждения стало развитие портовой инфраструктуры в Арктике.",01.08.25 11:01,4357,/novosti/ekonomika/Buduschee_severnoj_logistiki_obsudili_na_federalnom_arktik_forume_v_Arhangelske/108538
Ростелеком и Центр судоремонта «Звёздочка» ОСК подписали соглашение о партнерстве,"31 июля между верфью и «Ростелекомом» было подписано соглашение о партнерстве в сфере развития цифровых продуктов и сервисов в области информационных технологий, энергетики и производства.",31.07.25 23:53,4065,/novosti/ekonomika/Rostelekom_i_Centr_sudoremonta_Zvjozdochka_OSK_podpisali_soglashenie_o_partnerstve/108544
Архангельску помогут с коммуникациями для нового Арктического квартала,Прибывшие в столицу Поморья высокие гости побывали на стройплощадке будущего «Арктического квартала» в Майской горке. Жилищный проект предусматривает возведение жилья и инфраструктурных объектов на территории двух округов.,31.07.25 11:45,6726,/novosti/ekonomika/Arhangelsku_pomogut_s_kommunikacijami_dlja_novogo_Arkticheskogo_kvartala/108530
96 предпринимателей Поморья вышли на экспорт в первом квартале этого года,"Экспорт из Поморья продолжает расти: за первый квартал 2025 года продукцию за границу направили 96 предпринимателей. Регион активно расширяет географию внешней торговли, осваивая рынки Азии, Ближнего Востока и Латинской Америки.",30.07.25 17:07,4452,/novosti/ekonomika/96_predprinimatelej_Pomorja_vyshli_na_eksport_v_pervom_kvartale_etogo_goda/108527
Кресло главы одного из флагманов молочного рынка Поморья покинул Владимир Михайлов,"28 июля стал последним днем работы Владимира Михайлова в должности руководителя агрохолдинга «Белозорие». В компании, которая стала для MBA-управленца не просто местом работы, а частью жизни, он протрудился почти два десятилетия.",29.07.25 20:26,7231,/novosti/ekonomika/Kreslo_glavy_odnogo_iz_flagmanov_molochnogo_rynka_Pomorja_pokinul_Vladimir_Mihajlov/108518
Рынок архангельской «первички» может столкнуться с трудностями по льготным кредитам,"6 августа власти должны принять решение, смогут ли банки и дальше получать повышенную выплату из бюджета при выдаче семейной ипотеки. От этого зависит доступность кредитов и поддержка спроса на первичном рынке.",29.07.25 15:53,4562,/novosti/ekonomika/Rynok_arhangelskoj_pervichki_mozhet_stolknutsja_s_trudnostjami_po_lgotnym_kreditam/108513
Глобальная цифровизация наружной рекламы затронула улицы Архангельска,Стремительные темпы цифровизации экономики затрагивают разные сферы бизнеса. Наружная реклама — не исключение. Прогрессивно настроенные архангельские outdoor-операторы кратно нарастили число диджитал-конструкций.,29.07.25 11:10,4196,/novosti/ekonomika/Globalnaja_cifrovizacija_naruzhnoj_reklamy_zatronula_ulicy_Arhangelska/108508
Сбой в «Аэрофлоте» не повлиял на рейсы между Архангельском и столичными городами,"«Аэрофлот» отменил десятки рейсов по стране из-за хакерской атаки. В результате сбоя в работе информационной системы перевозчика полеты застопорились как в крупных, так и малых городах России. К счастью, Архангельска в списке нет.",28.07.25 16:11,4326,/novosti/ekonomika/Sboj_v_Aeroflote_ne_povlijal_na_rejsy_mezhdu_Arhangelskom_i_stolichnymi_gorodami/108500
Группа Аквилон успешно завершает возведение в Архангельске очередного крупного ЖК,"Речь идет о проекте комплексной застройки вблизи ТРК «Титан-Арена». Этому предшествовало расселение расположенных здесь аварийных домов. За счет застройщика также будет возведен детский сад, который будет передан муниципалитету.",21.07.25 15:22,6374,/novosti/ekonomika/Gruppa_Akvilon_uspeshno_zavershaet_vozvedenie_v_Arhangelske_ocherednogo_krupnogo_ZhK/108424
"Падаем, но держимся: Поморье вошло в десятку регионов-лидеров по развитию ипотеки","Архангельская область попала в ТОП-10 регионов, где чаще всего берут ипотеку. Регион занял 6 место в рейтинге. Тем не менее объемы выдачи жилищных кредитов просели почти вдвое по сравнению с прошлым годом.",21.07.25 15:17,7834,/novosti/ekonomika/Padaem_no_derzhimsja_Pomore_popalo_v_desjatku_regionov_liderov_po_razvitiju_ipoteki/108426
Полезные архангельские рекламщики делают ставку на «цифровизацию»,С развитием технологий привычные уличные форматы «наружки» дополняются высокотехнологичными экранами. Архангельск не остается в стороне от глобального тренда благодаря прогрессивно мыслящим рекламным компаниям.,19.07.25 14:56,4730,/novosti/ekonomika/Poleznye_arhangelskie_reklamschiki_delajut_stavku_na_cifrovizaciju_/108413
Под Архангельском готовят к комплексной жилой застройке еще один крупный участок,"В столице Поморья «пустят с молотка» под застройку еще один пустырь — почти 16 гектаров земли в поселке Дорожников. Победителю аукциона предстоит за 10 лет возвести там жилье, детсад на 125 мест и школу на 300 учеников.",18.07.25 16:04,5449,/novosti/ekonomika/Pod_Arhangelskom_gotovjat_k_kompleksnoj_zastrojke_esche_odin_krupnyj_uchastok/108408
В архангельских «Светофорах» изъяли тонны продукции с плесенью и «левым» составом,Более двух тонн продукции арестовано в магазинах крупной сети дискаунтеров в Архангельской области. Проверки Россельхознадзора выявили многочисленные нарушения — от просрочки и подмены состава до плесени и фальсификатов.,17.07.25 11:32,4583,/novosti/ekonomika/V_arhangelskih_Svetoforah_izjali_tonny_produkcii_s_plesenju_i_skrytym_sostavom/108391
Сбер и никакого Кронштадта: банкиры обживают помещения бывшего ТЦ в Архангельске,"В областном центре заработал новый офис Сбербанка на улице Иоанна Кронштадтского. Финансисты заняли площади бывшего торгового центра, вытеснив практических всех прежних арендаторов. В прошлом году у здания сменились владельцы.",17.07.25 10:49,6299,/novosti/ekonomika/Sber_i_nikakogo_Kronshtadta_bankiry_obzhivajut_pomeschenija_byvshego_TC_v_Arhangelske/108389
Около 10 тысяч жителей Архангельской области купили жилье через счета эскроу,"С момента запуска на рынке новостроек системы проектного финансирования с применением эскроу-счетов в Поморье было приобретено более 9,6 тыс. квартир. Еще свыше 6 тысяч аналогичных жилых помещений находятся в стадии строительства.",16.07.25 10:07,5822,/novosti/ekonomika/Okolo_10_tysjach_zhitelej_Arhangelskoj_oblasti_kupili_zhile_cherez_scheta_eskrou/108376
Госдолг Архангельской области с начала года вырос почти на 20 млрд рублей,"Государственный долг региона по итогам 6 месяцев увеличился более чем на 20 процентов и составил к 1 июля 105,7 млрд рублей, перешагнув психологический рубеж. На начало 2025 года показатель задолженности не превышал 87 миллиардов.",15.07.25 20:47,4550,/novosti/ekonomika/Gosdolg_Arhangelskoj_oblasti_s_nachala_goda_vyros_pochti_na_20_mlrd_rublej/108367
Сервис «Переезд» сохранил услуги связи для 18 тысяч семей Архангельской области,В Архангельской области и Ненецком автономном округе более 18 тыс. семей воспользовались сервисом «Переезд» от «Ростелекома» при смене места жительства за последние восемь лет.,15.07.25 16:05,3296,/novosti/ekonomika/Servis_Pereezd_sohranil_uslugi_svjazi_dlja_18_tysjach_semej_Arhangelskoj_oblasti/108369
Корабельная сторона Архангельска продолжает прирастать «арктическими» новостройками,"Лето характеризуется традиционным оживлением в сфере жилищного строительства. Ускоряются работы на уже возводимых объектах, анонсируются новые проекты. Соломбала — не исключение. Квартирные стройки там возникают одна за другой.",15.07.25 12:31,4379,/novosti/ekonomika/Korabelnaja_storona_Arhangelska_prodolzhaet_prirastat_arkticheskimi_novostrojkai/108361
Предельно закредитованной Архангельской области спишут бюджетные долги,"Правительство спишет задолженность по бюджетным кредитам у 25 регионов России. В их числе и Поморье, суммарные долги которого заметно выросли за последние годы, вплотную приблизившись к психологической планке в 100 млрд рублей.",14.07.25 18:58,4608,/novosti/ekonomika/Predelno_zakreditovannoj_Arhangelskoj_oblasti_spishut_bjudzhetnye_dolgi/108360
"Копить или нет: сколько лет потребуется семье, чтобы купить квартиру в Поморье","В Архангельской области выросла доступность жилья — теперь семье с одним ребенком нужно около 3,5 лет, чтобы накопить на собственное жилье. Такие данные привели аналитики РИА Новости, основываясь на федеральном рейтинге.",14.07.25 17:49,4088,/novosti/ekonomika/Kopit_ili_net_skolko_let_potrebuetsja_seme_chtoby_kupit_kvartiru_v_Pomore/108359
Второй туристический комплекс появится в окрестностях Малых Карел под Архангельском,"Вблизи музея деревянного зодчества планируется построить еще один центр загородного отдыха, состоящий из шести гостевых домов, спортзала и спа-центра. Реализацией проекта займется компания-резидент Арктической зоны РФ.",10.07.25 18:58,4711,/novosti/ekonomika/Vtoroj_turisticheskij_kompleks_pojavitsja_v_okrestnostjah_Malyh_Karel_pod_Arhangelskom/108321
В 2025 году Т2 предотвратила полмиллиарда спам-звонков,"T2, российский оператор мобильной связи, продолжает активную борьбу с телефонным мошенничеством и спамом. С начала 2025 года система защиты абонентов компании, основанная на big data, предотвратила более 500 млн спам-звонков.",10.07.25 09:30,3534,/novosti/ekonomika/V_2025_godu_T2_predotvratila_polmilliarda_spam_zvonkov/108324
«Ростелеком» и «Солар» обновили сервис мониторинга утечек персональных данных,"«Ростелеком» совместно с ГК «Солар», архитектором комплексной кибербезопасности, обновил сервис проверки утечек персональных данных.",10.07.25 08:00,3464,/novosti/ekonomika/_Rostelekom_i_Solar_obnovili_servis_monitoringa_utechek_personalnyh_dannyh/108323
Мобильная связь впервые появилась в селе в 750 км от Архангельска,МегаФон первым из операторов обеспечил голосовой связью и скоростным интернетом четвертого поколения два малых населенных пункта в Архангельской области.,09.07.25 10:49,5139,/novosti/ekonomika/Mobilnaja_svjaz_vpervye_pojavilas_v_sele_v_750_km_ot_Arhangelska_/108311
Руслан Хахаев — в числе лучших управленцев конкурса лидеров строительной отрасли РФ,По результатам двух отборочных этапов из общего количества зарегистрированных участников (23 547 человек) в полуфинал конкурса «Лидеры строительной отрасли-2025» прошли 300 конкурсантов из 54 регионов Российской Федерации.,09.07.25 10:06,3774,/novosti/ekonomika/Ruslan_Hahaev_v_chisle_luchshih_upravlencev_konkursa_liderov_stroitelnoj_otrasli_RF/108306
"Спасибо, что были с нами: в Архангельске после недолгой работы закроют «мини-макси»",Вологодский ритейлер решил прикрыть убыточную торговую точку в областном центре. Реализация продуктов питания на первом этаже жилого дома на углу улицы Свободы и проспекта Ломоносова прекратится после полугода работы.,08.07.25 12:44,11190,/novosti/ekonomika/Spasibo_chto_byli_s_nami_v_Arhangelske_posle_nedolgoj_raboty_zakrojut_mini_maksi_/108300
Стали известны даты проведения традиционной Маргаритинки в Архангельске,С 4 по 8 сентября в Архангельске снова пройдет Маргаритинская ярмарка — одно из самых ожидаемых событий для бизнеса и горожан. Местные предприниматели смогут получить бесплатные торговые места на трех городских площадках.,07.07.25 15:18,4380,/novosti/ekonomika/Stali_izvestny_daty_provedenija_tradicionnoj_Margaritinki_v_Arhangelske/108290
«Почта России» вновь сменила директора в архангельском филиале,"Управление федеральной почтовой связи Архангельской области возглавила Светлана Бушкова. Она сменила на этом посту профессионального банкира Светлану Эрбис, которая не проработала в руководящей должности и полугода.",03.07.25 15:05,5549,/novosti/ekonomika/_Pochta_Rossii_vnov_smenila_direktora_v_arhangelskom_filiale/108258
Группа Аквилон приступает к возведению в Архангельске нового ЖК и ФОКА с бассейном,"Напомним, что в прошлом Комиссия по инвестиционной политике при губернатореАрхангельской области приняла решение о придании статуса масштабного инвестиционному проекту в столице Поморья, предложенному Группой Аквилон.",30.06.25 13:36,4331,/novosti/ekonomika/Gruppa_Akvilon_pristupaet_k_vozvedeniju_v_Arhangelske_novogo_ZhK_i_FOKA_s_bassejnom/108222
Архангельск оказался в «хвосте» рейтинга городов по жилищному строительству,"Архангельск вновь отметился в федеральной статистике — но не с лучшей стороны. Город вошел в список аутсайдеров рейтинга РИА Новости по объему ввода жилья — на каждого жителя пришлось всего 0,4 квадратного метра нового жилья.",30.06.25 11:30,9800,/novosti/ekonomika/Arhangelsk_okazalsja_v_hvoste_rejtinga_gorodov_po_zhilischnomu_stroitelstvu/108219
Жилой ультра-гигант появится к середине 2028 года в самом центре Архангельска,"В Архангельске стартует реализация очередного крупного жилищного проекта, который заметно преобразит бывшую цирковую территорию в городе. Результат объединенных усилий архитекторов и строителей можно будет увидеть к 2029 году.",27.06.25 16:07,8255,/novosti/ekonomika/Zhiloj_ultra_gigant_pojavitsja_k_seredine_2028_goda_v_samom_centre_Arhangelska/108204
Депутат усомнился в целесообразности правок жилищных инвестиционных норм в Поморье,На этой неделе депутаты рассмотрят поправки в инвестиционное законодательство касательно обременений архангельских застройщиков. Некоторые парламентарии видят в этом угрозу социальной инфраструктуре будущих новостроек.,24.06.25 14:07,3389,/novosti/ekonomika/Deputat_usomnilsja_v_celesoobraznosti_pravok_zhilischnyh_investicionnyh_norm_v_Pomore/108166
Виртуальный помощник экономит клиентам Билайна по 52 года в месяц,"С января по май 2025 года антифрод-система Билайна распознала 1,7 млрд звонков от мошенников и спамеров, 695 млн из них были заблокированы и перенаправлены на Виртуального помощника.",24.06.25 11:45,2961,/novosti/ekonomika/Virtualnyj_pomoschnik_ekonomit_klientam_Bilajna_po_52_goda_v_mesjac/108160
Продажи новостроек в РФ упали в мае на 40% к прошлому году. Но не в Архангельске,"Аналитики сравнили показатели сделок в новостройках за последний весенний месяц 2024 и 2025 годов. По итогам мая в стране было продано 35,7 тыс. квартир. Это на 41,2% меньше, чем годом ранее. Поморье в этом плане — исключение.",22.06.25 19:39,4458,/novosti/ekonomika/Prodazhi_novostroek_v_RF_upali_v_mae_na_40_k_proshlomu_godu_No_ne_v_Arhangelske/108127
Технологии Сбера будут интегрированы в серийный автомобиль LADA AZIMUT,"Будущий флагман LADA AZIMUT станет первой моделью, где будет установлена новая российская программная платформа для мультимедиа с виртуальным ассистентом под управлением нейросети GigaChat, а также сервисами и решениями от Сбера.",22.06.25 18:58,3188,/novosti/ekonomika/Tehnologii_Sbera_budut_integrirovany_v_serijnyj_avtomobil_LADA_AZIMUT/108133
Губернатор Архангельской области провел заседание комиссии Госсовета на ПМЭФ-2025,На полях ПМЭФ глава Поморья провел заседание комиссии Госсовета по направлению «Международная кооперация и экспорт». Главными темами стали новые меры поддержки несырьевого экспорта и выход российских компаний на новые рынки.,20.06.25 18:59,3453,/novosti/ekonomika/Gubernator_Arhangelskoj_oblasti_provel_zasedanie_komissii_Gossoveta_na_PMEF_2025/108136
Полторы сотни электротакси могут появиться в ближайшие годы на дорогах Архангельска,"Планы по развитию в областном центре индустрии электротранспорта стали следствием соглашения, подписанного на полях ПМЭФ-2025 между правительством региона и дочерней структурой «Роснано».",20.06.25 13:51,3591,/novosti/ekonomika/Poltory_sotni_elektrotaksi_mogut_pojavitsja_v_blizhajshee_vremja_na_dorogah_Arhangelska/108125
МегаФон проведет цифровую трансформацию Подмосковья,МегаФон и правительство Московской области договорились о совместном развитии инфраструктурных проектов на территории региона.,20.06.25 12:41,3023,/novosti/ekonomika/MegaFon_provedet_cifrovuju_transformaciju_Podmoskovja_/108117
МегаФон и ММК создадут цифровой склад для коксохимического производства,МегаФон и Магнитогорский металлургический комбинат (ММК) в рамках ПМЭФ-2025 договорились о создании цифрового угольного склада для коксохимического производства.,20.06.25 09:44,2599,/novosti/ekonomika/MegaFon_i_MMK_sozdadut_cifrovoj_sklad_dlja_koksohimicheskogo_proizvodstva_/108116
Госинспекторы не дают покоя лесопромышленному флагману Архангельской области,"Речь идет о холдинге УЛК и сотрудниках трудовой инспекции, которые вслед за налоговиками проведут там ревизию на предмет соблюдения профильного законодательства. Поводом послужили жалобы в соцсетях о перебоях с зарплатой.",16.06.25 17:46,5049,/novosti/ekonomika/Gosinspektory_ne_dajut_pokoja_lesopromyshlennomu_flagmanu_Arhangelskoj_oblasti/108086
В Архангельской области интернет билайна ускорился на 30 процентов,"Сотовый оператор билайн построил новые базовые станции в городах и селах Архангельской области. Так, в результате проведенных работ скорость 4G выросла на 30% в Коряжме.",16.06.25 09:00,2985,/novosti/ekonomika/V_Arhangelskoj_oblasti_internet_bilajna_uskorilsja_na_30_procentov_/108055
Транснефть – Север пополнило рыбные запасы Архангельской области,В рамках экологической программы АО «Транснефть – Север» выпустило молодь атлантического лосося (сёмги) в реку Онегу в Плесецком районе Архангельской области. Индивидуальная навеска каждой особи составила не менее 12 грамм.,11.06.25 16:28,3488,/novosti/ekonomika/Transneft_Sever_popolnilo_rybnye_zapasy_Arhangelskoj_oblasti/108051
Группа Аквилон готовит к передаче в госсобственность первые квартиры,"26 квартир будут переданы в государственную собственность Архангельской области в 1-й очереди ЖК «Аквилон NEO», который возводится в Северодвинске.",09.06.25 14:39,3821,/novosti/ekonomika/Gruppa_Akvilon_gotovit_k_peredache_v_gossobstvennost_pervye_kvartiry/108027
В крупнейшем архангельском лесопромышленном холдинге сменилось руководство,"Под занавес весны кресло директора предприятия «Титан» покинул Алексей Кудрявцев, занимавший этот пост 10 лет. Вслед за ним накануне сложил полномочия и глава Архангельского ЦБК Дмитрий Зылёв, более 12 лет руководивший комбинатом.",07.06.25 15:01,7321,/novosti/ekonomika/V_krupnejshem_arhangelskom_lesopromyshlennom_holdinge_smenilos_rukovodstvo/108017
Ведущий архангельский застройщик попал в ТОП-15 девелоперов России,"Обнародован ТОП-100 девелоперских компаний России, которые показали существенные достижения и значительный вклад в развитие отрасли в 2024 году. В числе ведущих застройщиков РФ оказался и холдинг Аквилон, занявший 14-ю позицию.",30.05.25 12:16,4421,/novosti/ekonomika/Veduschij_arhangelskij_zastrojschik_popal_v_TOP_15_developerov_Rossii/107943
Архангельск вошел в тройку малых столиц с наибольшим снижением цен на «вторичку»,"Эксперты проанализировали динамику цен на вторичное жилье в региональных центрах с начала года. Оказалось, что в некоторых столицах субъектов стоимость б/у квартир снизилась. Правда, не на много. В их числе и Архангельск.",29.05.25 19:02,4666,/novosti/ekonomika/Arhangelsk_voshel_v_trojku_malyh_gorodov_s_naibolshim_snizheniem_cen_na_vtorichku_/107936
Архангельские народные избранники утвердили отчет о городском бюджете за 2024 год,"На прошедшей майской сессии гордумы был утвержден отчет об исполнении бюджета города за 2024 год. Доходы казны выросли почти на 4%, расходы увеличились на 2,5%, а приоритетами стали соцсфера и городское хозяйство.",28.05.25 16:18,4249,/novosti/ekonomika/Arhangelskie_narodnye_izbranniki_utverdili_otchet_o_gorodskom_bjudzhete_za_2024_god/107919
